"Wall time" Loss
0.0 9.719158172607422
6.431605366865794 17.61161994934082
12.840615252653757 5.276934623718262
19.23642800251643 4.466689109802246
25.650033485889434 4.2460618019103995
32.07511863708496 4.451766014099121
38.4948863863945 4.056437969207764
44.89651785294215 3.9352080821990967
51.2885441660881 3.8969316482543945
57.71848092079163 4.005608558654785
64.08691647052765 3.932848453521729
70.49164683818817 3.839767456054688
76.85266213814417 3.8870885372161865
83.25767240524291 3.929924488067627
89.66005791823069 3.938093662261963
96.05924595197042 4.2528910636901855
102.46736841996511 3.9819841384887695
108.84839095274607 4.0242629051208505
115.2590887705485 3.7820208072662354
121.63141363859177 4.0947046279907235
128.03171110153198 3.752394914627075
134.40320343573887 3.8748290538787837
140.76824760039648 3.760357856750488
147.17863835493725 3.7950742244720463
153.56404697100322 3.723868608474731
159.97124713659286 3.762894630432129
166.3855900367101 4.064926624298097
172.7954799214999 3.71983003616333
179.1810922543208 3.836227655410767
185.5539783000946 4.323531150817871
191.9689871708552 2.5619890689849854
198.34650441805522 2.354599952697754
204.88611046870548 2.212994337081909
211.28053371906282 2.11471962928772
217.68561163345973 2.0206193923950195
224.07765651941298 1.9883736371994016
230.48881436983746 2.1850991249084477
236.85673591693242 1.9259413480758667
243.24578728675843 1.9198447465896609
249.65567820072175 1.9170531034469604
256.0455440878868 1.9150631427764893
262.4079965869586 1.898104906082153
268.8301789999008 1.9126347303390503
275.2067679166794 1.9459179639816284
281.60706495046617 1.9127140045166016
287.9476313829422 2.0922443866729736
294.35855100552243 1.9633946418762207
300.77071913480756 1.9549112319946291
307.2749089837074 2.0423741340637207
313.67386672099434 1.9034873247146609
320.0697453538577 1.9673458337783811
326.48726075490316 1.9661691188812256
332.90024825334547 1.9567306041717532
339.29212322235105 1.9560731649398804
345.6646619876226 1.94246244430542
352.0535200357437 1.9328696727752688
358.4370267510414 1.9489413499832156
364.8284313201904 1.93718683719635
371.2209292372068 1.962857723236084
377.5864147345225 1.949135422706604
383.96357130209606 1.6649409532546997
390.34765396912894 1.6312838792800903
396.72622060378393 1.6128885746002195
403.0950067679087 1.5927488803863523
409.6520158330599 1.5837156772613523
