"Wall time" Accuracy
0.0 0.20892685651779172
6.118066402276357 0.4006482064723969
12.248654882113138 0.4845950603485107
18.35721868276596 0.5631402134895325
24.50867581764857 0.5874279737472534
30.60586529970169 0.6502680778503418
36.719183615843455 0.6470470428466797
42.835725498199466 0.659371018409729
48.95096533298492 0.6770966649055481
55.061991369724275 0.6244398355484009
61.16592220067978 0.6473871469497681
67.25842201709747 0.6394446492195129
73.36783845027288 0.6844390034675598
79.45183890263239 0.5755241513252258
85.55100810130438 0.7215108871459961
91.64158826669058 0.7001840472221375
97.74060680071513 0.7110675573348999
103.82120456695557 0.7197703123092651
109.94503401915232 0.7092069387435913
116.05348899761836 0.7300336360931396
122.13994700113932 0.6603313088417053
128.27964229981106 0.6744958162307739
134.40446506738664 0.6999639868736267
140.49320930242538 0.7072463035583496
146.601065214475 0.7175496220588684
152.71747200091679 0.7279329299926758
158.83344371716183 0.7344550490379333
164.94967240095139 0.7247719168663025
171.03903220097223 0.7318542003631592
177.13087739944459 0.6983034610748291
183.2194804350535 0.8729593753814697
189.30893521706264 0.8804817795753479
195.5403830687205 0.8822023272514343
201.62770138581593 0.8782210350036621
207.71603283484777 0.8824824094772339
213.8517918030421 0.8772206902503967
219.93386668364207 0.8827024698257446
226.023220483462 0.8741597533226013
232.11064945062 0.8823223710060121
238.17644691467285 0.8822222948074341
244.28045313358308 0.8768805861473083
250.42107011874518 0.8822023272514343
256.53047000169755 0.8759002685546875
262.6567348162333 0.8814420700073242
268.72495595216753 0.88192218542099
274.840106566747 0.8790212869644165
280.94948006471 0.8812220096588135
287.0454021811485 0.8752200603485107
293.33221213420234 0.8769606351852417
299.4225891153018 0.8769406080245972
305.54262740214665 0.8735795617103577
311.623173948129 0.8784810900688171
317.7277287999789 0.8729393482208252
323.8449411829313 0.8866037130355835
329.93601988554 0.8836027383804321
336.05006678501763 0.8844230175018309
342.1798382997513 0.8825424313545227
348.30333376725514 0.8785611391067505
354.4233850836754 0.8842429518699646
360.5487513144811 0.8721790909767151
366.66714898347857 0.9173535704612732
372.76374543507893 0.9191341400146484
378.87508705059685 0.9209946990013124
384.97911585172017 0.9216949343681335
391.2141245007515 0.9233154654502868
